ligand_id	library_id	docking_score_1d3g	docking_score_1d3h	docking_score_4igh	docking_score_6j3c
CHEMBL104001	dude_actives	5.6706590652	4.1205377579	4.0010275841	4.7388458252
CHEMBL107642	dude_actives	5.4944624901	0.614985168	2.987765789	4.3667397499
CHEMBL41799	dude_actives	7.0311284065	4.0851407051	4.3581147194	2.8790273666
CHEMBL39448	dude_actives	6.7208452225	4.27541399	4.1956954002	6.0478301048
CHEMBL142996	dude_actives	4.7296962738	4.206114769	4.0590548515	4.6670889854
CHEMBL320245	dude_actives	5.4728360176	4.2550234795	3.6639373302	4.3914432526
CHEMBL104209	dude_actives	5.4427237511	4.1885108948	3.9093327522	4.4828586578
CHEMBL39396	dude_actives	7.2692046165	4.7917084694	4.8186035156	6.5519280434
CHEMBL141074	dude_actives	4.1145868301	3.8339631557	3.8135092258	4.4053449631
CHEMBL49331	dude_actives	7.274409771	3.1741006374	5.9326329231	6.6159601212
CHEMBL39151	dude_actives	7.0309896469	4.4628081322	4.3848195076	6.3902211189
CHEMBL107224	dude_actives	5.4038033485	3.5998859406	3.7234890461	4.0774269104
CHEMBL50499	dude_actives	6.9406037331	5.037709713	5.7870020866	1.4326860905
CHEMBL41719	dude_actives	6.5591115952	4.4779863358	3.8298962116	5.9992814064
CHEMBL387254	dude_actives	5.2915129662	4.6181092262	3.76821208	4.0899167061
CHEMBL142705	dude_actives	4.3219146729	3.633125782	1.769122839	4.4076070786
CHEMBL143052	dude_actives	4.0671896935	3.9895129204	4.0917067528	3.4684298038
CHEMBL519160	dude_actives	3.8157057762	2.9807400703	3.5322105885	3.8748083115
CHEMBL104167	dude_actives	5.6011266708	4.2461223602	3.3597693443	4.5630354881
CHEMBL38669	dude_actives	6.589389801	5.7645902634	4.2723679543	5.9199986458
CHEMBL322100	dude_actives	5.4426488876	3.5093138218	2.9541010857	4.4736037254
CHEMBL337130	dude_actives	4.0056509972	2.0790352821	2.6823205948	3.8241763115
CHEMBL36981	dude_actives	7.2285661697	5.0306043625	4.9395027161	6.6377329826
CHEMBL141126	dude_actives	4.0916209221	3.9925405979	3.7493855953	3.8777184486
CHEMBL141237	dude_actives	3.6799275875	3.9303808212	3.0299975872	4.1569833755
CHEMBL139647	dude_actives	3.9557070732	4.1871695518	3.8297836781	3.2445242405
CHEMBL108213	dude_actives	5.5693717003	4.5018000603	3.6206486225	4.4767885208
CHEMBL143237	dude_actives	3.9646053314	4.4377746582	4.1007905006	4.5179390907
CHEMBL416057	dude_actives	6.8654403687	4.9142680168	4.7044019699	5.8195285797
CHEMBL38614	dude_actives	7.2061867714	5.0311360359	4.4798331261	5.6716327667
CHEMBL106467	dude_actives	5.5811018944	4.2904887199	3.993039608	4.4802875519
CHEMBL326692	dude_actives	5.1980237961	0.6653724313	3.3512737751	3.8183727264
CHEMBL322929	dude_actives	4.0725741386	4.3684153557	2.6824829578	4.8883266449
CHEMBL289071	dude_actives	7.1672987938	4.4724974632	4.6376104355	6.0882744789
CHEMBL104302	dude_actives	5.4915747643	3.9807796478	3.918125391	4.4129400253
CHEMBL344913	dude_actives	3.9566700459	2.0699276924	2.0561676025	3.9671115875
CHEMBL289854	dude_actives	7.1653366089	4.6144657135	4.2204866409	6.2517814636
CHEMBL417722	dude_actives	6.9632539749	4.7491688728	6.256313324	2.6205699444
CHEMBL289555	dude_actives	6.3974866867	5.2826333046	3.8980505466	4.8012251854
CHEMBL288381	dude_actives	5.9165997505	3.544262886	3.8904571533	5.0175247192
CHEMBL39971	dude_actives	7.008453846	5.143802166	4.7227125168	5.8780460358
CHEMBL141248	dude_actives	4.5180664062	3.9528362751	2.346367836	4.1815004349
CHEMBL143196	dude_actives	4.9636969566	3.9575679302	3.9661545753	4.5808587074
CHEMBL118395	dude_actives	1.8429790735	2.0101103783	3.1741023064	2.9987924099
CHEMBL49129	dude_actives	7.1578264236	5.2802786827	5.4744348526	5.7660899162
CHEMBL39325	dude_actives	7.1036233902	4.0594701767	4.2479505539	6.2606282234
CHEMBL308141	dude_actives	5.1569514275	5.2911734581	4.6686124802	3.7838988304
CHEMBL324668	dude_actives	4.5760450363	4.0930118561	2.8130543232	4.2456870079
CHEMBL106529	dude_actives	5.1175136566	3.6742455959	3.9548261166	4.1077136993
CHEMBL218084	dude_actives	5.8684706688	1.6597900391	3.3645169735	2.9704518318
CHEMBL370228	dude_actives	4.631257534	5.0619764328	4.6686620712	2.0142760277
CHEMBL306784	dude_actives	5.450278759	5.6350445747	4.2982940674	4.840950489
CHEMBL218700	dude_actives	0.7105036974	1.9278146029	4.0302491188	5.240260601
CHEMBL140558	dude_actives	2.1551218033	3.524002552	3.8162462711	3.4402222633
CHEMBL104146	dude_actives	5.5186276436	3.9735059738	3.5621249676	4.1411561966
CHEMBL484780	dude_actives	2.1244540215	3.7611985207	1.7941836119	3.5382740498
CHEMBL200699	dude_actives	5.261847496	4.2633337975	5.3766880035	5.0973682404
CHEMBL297497	dude_actives	7.2375202179	3.249610424	6.6385622025	6.3444299698
CHEMBL538406	dude_actives	4.4148464203	4.4838132858	2.3007810116	3.4363865852
CHEMBL194023	dude_actives	5.8948287964	3.3605017662	4.0262293816	2.2973382473
CHEMBL960	dude_actives	3.2164599895	4.1367154121	3.4416027069	3.0831670761
CHEMBL344613	dude_actives	1.2144824266	3.5572752953	1.9040082693	2.1761291027
CHEMBL321060	dude_actives	4.9300074577	3.8279292583	3.7766010761	4.0423002243
CHEMBL141047	dude_actives	0.8315724134	3.9324843884	3.1819043159	1.9088877439
CHEMBL51927	dude_actives	5.9076919556	4.6271700859	4.0718612671	5.5991301537
CHEMBL197455	dude_actives	4.2083077431	3.9737913609	3.5715456009	2.351485014
CHEMBL1088743	dude_actives	4.5356397629	4.7423648834	5.4952831268	5.6595497131
CHEMBL321163	dude_actives	5.5952033997	3.8015348911	4.0659151077	4.1160960197
CHEMBL49697	dude_actives	5.6346673965	4.8702630997	5.8538126945	5.0607190132
CHEMBL106515	dude_actives	4.6356859207	0.5116196275	4.1858205795	3.9306943417
CHEMBL195622	dude_actives	4.3083486557	3.7892696857	4.6771149635	4.166413784
CHEMBL51082	dude_actives	5.4175362587	4.6143264771	5.4852404594	5.276040554
CHEMBL200895	dude_actives	5.5796747208	4.3081502914	4.3073406219	4.1706624031
CHEMBL356115	dude_actives	1.8531376123	3.5657761097	2.1393156052	2.174741745
CHEMBL143868	dude_actives	1.1538033485	1.3283289671	1.0333120823	2.1409132481
CHEMBL1084928	dude_actives	0.6455208063	2.1838757992	4.843963623	4.5710282326
